playID,homeAbbr,awayAbbr,homeScore,awayScore
333060251_24_0,TEX,KU,35,13
333060251_24_1,TEX,KU,35,13
333060251_24_2,TEX,KU,35,13
333060251_24_3,TEX,KU,35,13
333060251_24_4,TEX,KU,35,13
333060251_24_5,TEX,KU,35,13
333060251_25_0,TEX,KU,35,13
333060251_25_1,TEX,KU,35,13
333130277_0_0,WVU,TEX,0,0
333130277_0_1,WVU,TEX,0,0
333130277_0_2,WVU,TEX,0,0
333130277_1_0,WVU,TEX,0,0
333130277_1_1,WVU,TEX,0,0
333130277_1_2,WVU,TEX,0,0
333130277_2_0,WVU,TEX,2,0
333130277_2_1,WVU,TEX,2,0
333130277_2_2,WVU,TEX,2,0
333130277_2_3,WVU,TEX,2,0
333130277_2_4,WVU,TEX,2,0
333130277_2_5,WVU,TEX,8,0
333130277_3_0,WVU,TEX,9,0
333130277_3_1,WVU,TEX,9,0
333130277_3_2,WVU,TEX,9,0
333130277_3_3,WVU,TEX,9,0
333130277_3_4,WVU,TEX,9,0
333130277_4_0,WVU,TEX,9,0
333130277_4_1,WVU,TEX,9,0
333130277_5_0,WVU,TEX,9,0
333130277_5_1,WVU,TEX,9,0
333130277_5_2,WVU,TEX,9,0
333130277_5_3,WVU,TEX,9,0
333130277_5_4,WVU,TEX,9,0
333130277_6_0,WVU,TEX,9,0
333130277_7_0,WVU,TEX,9,0
333130277_7_1,WVU,TEX,9,0
333130277_7_2,WVU,TEX,9,0
333130277_8_0,WVU,TEX,9,0
333130277_8_1,WVU,TEX,9,0
333130277_8_2,WVU,TEX,9,0
333130277_9_0,WVU,TEX,9,3
333130277_9_1,WVU,TEX,9,3
333130277_9_2,WVU,TEX,9,3
333130277_10_0,WVU,TEX,9,3
333130277_10_1,WVU,TEX,9,3
333130277_10_2,WVU,TEX,9,3
333130277_11_0,WVU,TEX,9,3
333130277_11_1,WVU,TEX,9,3
333130277_12_0,WVU,TEX,9,3
333130277_12_1,WVU,TEX,9,3
333130277_12_2,WVU,TEX,9,3
333130277_12_3,WVU,TEX,9,3
333130277_12_4,WVU,TEX,9,9
333130277_13_0,WVU,TEX,9,10
333130277_13_1,WVU,TEX,9,10
333130277_13_2,WVU,TEX,9,10
333130277_14_0,WVU,TEX,9,10
333130277_14_2,WVU,TEX,9,10
333130277_15_0,WVU,TEX,9,10
333130277_15_1,WVU,TEX,9,10
333130277_15_2,WVU,TEX,9,10
333130277_15_3,WVU,TEX,9,10
333130277_15_4,WVU,TEX,15,10
333130277_16_0,WVU,TEX,16,10
333130277_16_1,WVU,TEX,16,10
333130277_16_2,WVU,TEX,16,10
333130277_16_4,WVU,TEX,16,10
333130277_17_0,WVU,TEX,16,10
333130277_17_1,WVU,TEX,16,10
333130277_18_0,WVU,TEX,16,10
333130277_18_1,WVU,TEX,16,10
333130277_18_2,WVU,TEX,16,10
333130277_19_0,WVU,TEX,16,13
333130277_19_1,WVU,TEX,16,13
333130277_19_2,WVU,TEX,16,13
333130277_19_3,WVU,TEX,16,13
333130277_19_4,WVU,TEX,16,13
333130277_19_5,WVU,TEX,16,13
333130277_19_6,WVU,TEX,16,13
333130277_19_7,WVU,TEX,16,13
333130277_19_8,WVU,TEX,16,13
333130277_19_9,WVU,TEX,16,13
333130277_19_10,WVU,TEX,16,13
333130277_19_11,WVU,TEX,16,13
333130277_19_14,WVU,TEX,16,13
333130277_19_15,WVU,TEX,16,13
333130277_20_1,WVU,TEX,19,13
333130277_20_2,WVU,TEX,19,13
333130277_20_3,WVU,TEX,19,13
333130277_20_4,WVU,TEX,19,13
333130277_21_0,WVU,TEX,19,13
333130277_21_1,WVU,TEX,19,13
333130277_21_2,WVU,TEX,19,13
333130277_22_0,WVU,TEX,19,13
333130277_22_1,WVU,TEX,19,13
333130277_22_2,WVU,TEX,19,13
333130277_23_0,WVU,TEX,19,16
333130277_23_1,WVU,TEX,19,16
333130277_23_2,WVU,TEX,19,16
333130277_23_3,WVU,TEX,19,16
333130277_23_4,WVU,TEX,19,16
333130277_23_5,WVU,TEX,19,16
333130277_23_6,WVU,TEX,19,16
333130277_23_7,WVU,TEX,19,16
333130277_23_9,WVU,TEX,26,16
333130277_24_0,WVU,TEX,26,16
333130277_24_1,WVU,TEX,26,16
333130277_24_2,WVU,TEX,26,16
333130277_24_3,WVU,TEX,26,16
333130277_24_4,WVU,TEX,26,16
333130277_24_5,WVU,TEX,26,16
333130277_24_6,WVU,TEX,26,16
333130277_24_7,WVU,TEX,26,22
333130277_25_0,WVU,TEX,26,23
333130277_25_1,WVU,TEX,26,23
333130277_26_1,WVU,TEX,26,23
333130277_26_2,WVU,TEX,26,23
333130277_26_3,WVU,TEX,26,23
333130277_26_4,WVU,TEX,26,23
333130277_26_5,WVU,TEX,26,23
333130277_26_6,WVU,TEX,26,23
333130277_26_7,WVU,TEX,26,29
333130277_27_0,WVU,TEX,26,30
333130277_27_1,WVU,TEX,26,30
333130277_27_2,WVU,TEX,26,30
333130277_27_3,WVU,TEX,26,30
333130277_27_4,WVU,TEX,26,30
333130277_27_5,WVU,TEX,33,30
333130277_28_0,WVU,TEX,33,30
333130277_28_1,WVU,TEX,33,30
333130277_28_2,WVU,TEX,33,30
333130277_28_3,WVU,TEX,33,30
333130277_28_4,WVU,TEX,33,30
333130277_28_6,WVU,TEX,33,30
333130277_28_7,WVU,TEX,33,30
333130277_28_8,WVU,TEX,33,30
333130277_28_9,WVU,TEX,33,30
333130277_28_11,WVU,TEX,33,30
333130277_28_12,WVU,TEX,33,36
333130277_29_0,WVU,TEX,33,37
333130277_29_1,WVU,TEX,33,37
333130277_29_2,WVU,TEX,39,37
333130277_30_0,WVU,TEX,40,37
333130277_30_1,WVU,TEX,40,37
333130277_30_2,WVU,TEX,40,37
333130277_31_0,WVU,TEX,40,37
333130277_31_1,WVU,TEX,40,37
333130277_31_2,WVU,TEX,40,37
333130277_31_3,WVU,TEX,40,37
333130277_31_5,WVU,TEX,40,37
333130277_31_6,WVU,TEX,40,37
333130277_32_0,WVU,TEX,40,37
333130277_32_1,WVU,TEX,40,37
333130277_32_2,WVU,TEX,40,37
333130277_32_3,WVU,TEX,40,37
333130277_32_4,WVU,TEX,40,37
333130277_32_5,WVU,TEX,40,37
333130277_32_7,WVU,TEX,40,37
333130277_32_9,WVU,TEX,40,37
333130277_32_10,WVU,TEX,40,37
333130277_32_11,WVU,TEX,40,37
333130277_32_13,WVU,TEX,40,37
333130277_33_0,WVU,TEX,40,40
333130277_34_0,WVU,TEX,40,40
333130277_34_1,WVU,TEX,40,40
333130277_34_2,WVU,TEX,40,40
333130277_34_3,WVU,TEX,40,40
333130277_34_4,WVU,TEX,40,40
333130277_34_5,WVU,TEX,40,46
333130277_35_0,WVU,TEX,40,47
333130277_35_1,WVU,TEX,40,47
333130277_35_2,WVU,TEX,40,47
333130277_35_3,WVU,TEX,40,47
333200251_0_0,TEX,OKST,0,0
333200251_0_1,TEX,OKST,0,0
333200251_0_2,TEX,OKST,0,0
333200251_1_0,TEX,OKST,0,0
333200251_1_1,TEX,OKST,0,0
333200251_1_2,TEX,OKST,0,0
333200251_1_3,TEX,OKST,0,0
333200251_1_4,TEX,OKST,0,0
333200251_1_6,TEX,OKST,0,0
333200251_2_0,TEX,OKST,0,0
333200251_2_1,TEX,OKST,0,0
333200251_2_2,TEX,OKST,0,0
333200251_2_3,TEX,OKST,0,0
333200251_2_4,TEX,OKST,0,0
333200251_2_5,TEX,OKST,0,0
333200251_2_6,TEX,OKST,0,6
333200251_3_0,TEX,OKST,0,7
333200251_3_1,TEX,OKST,0,7
333200251_3_2,TEX,OKST,0,7
333200251_3_3,TEX,OKST,0,7
333200251_3_4,TEX,OKST,0,7
333200251_3_5,TEX,OKST,0,7
333200251_3_6,TEX,OKST,0,7
333200251_3_7,TEX,OKST,0,7
