playID,gameId,year,week,offenseAbbr,defenseAbbr,quarter,clock,type,down,distance,yardLine,yardsGained
400763458_4_6,400763458,2015,11,WVU,TEX,1,00:07:31,Rush,3,5,41,1
400763458_7_1,400763458,2015,11,WVU,TEX,1,00:03:24,Rush,1,10,25,10
400763458_7_3,400763458,2015,11,WVU,TEX,1,00:03:24,Rush,2,14,31,4
400763458_7_4,400763458,2015,11,WVU,TEX,1,00:03:24,Pass Reception,3,10,35,16
400763458_7_5,400763458,2015,11,WVU,TEX,1,00:03:24,Rush,1,10,51,4
400763458_7_6,400763458,2015,11,WVU,TEX,1,00:03:24,Rush,2,6,55,-1
400763458_7_7,400763458,2015,11,WVU,TEX,1,00:03:24,Pass Reception,3,7,54,4
400763458_9_0,400763458,2015,11,WVU,TEX,2,00:11:08,Rush,1,10,44,6
400763458_9_1,400763458,2015,11,WVU,TEX,2,00:11:08,Rush,2,4,50,4
400763458_9_2,400763458,2015,11,WVU,TEX,2,00:11:08,Pass Reception,1,10,54,18
400763458_9_3,400763458,2015,11,WVU,TEX,2,00:11:08,Rush,1,10,72,1
400763458_9_4,400763458,2015,11,WVU,TEX,2,00:11:08,Rush,2,9,73,10
400763458_9_5,400763458,2015,11,WVU,TEX,2,00:11:08,Rush,1,10,83,7
400763458_9_6,400763458,2015,11,WVU,TEX,2,00:11:08,Rush,2,3,90,9
400763458_9_7,400763458,2015,11,WVU,TEX,2,00:08:17,Rushing Touchdown,1,0,99,1
400763458_11_0,400763458,2015,11,WVU,TEX,2,00:01:48,Rush,1,10,13,19
400763458_11_1,400763458,2015,11,WVU,TEX,2,00:01:48,Rush,1,10,32,5
400763458_11_2,400763458,2015,11,WVU,TEX,2,00:01:48,Rush,2,5,37,10
400763458_11_3,400763458,2015,11,WVU,TEX,2,00:01:00,Passing Touchdown,1,10,47,53
400763458_14_1,400763458,2015,11,WVU,TEX,3,00:08:33,Rush,1,10,25,3
400763458_14_2,400763458,2015,11,WVU,TEX,3,00:08:33,Rush,2,7,28,4
400763458_14_3,400763458,2015,11,WVU,TEX,3,00:08:33,Pass Reception,3,3,32,2
400763458_16_0,400763458,2015,11,WVU,TEX,3,00:04:03,Rush,1,10,44,3
400763458_16_1,400763458,2015,11,WVU,TEX,3,00:04:03,Rush,2,7,47,4
400763458_16_2,400763458,2015,11,WVU,TEX,3,00:04:03,Pass Reception,3,3,51,7
400763458_16_3,400763458,2015,11,WVU,TEX,3,00:04:03,Rush,1,10,85,3
400763458_16_4,400763458,2015,11,WVU,TEX,3,00:04:03,Rush,2,7,88,4
400763458_16_5,400763458,2015,11,WVU,TEX,3,00:01:48,Passing Touchdown,3,3,92,8
400763458_18_0,400763458,2015,11,WVU,TEX,3,00:01:41,Rush,1,10,78,12
400763458_18_1,400763458,2015,11,WVU,TEX,3,00:01:41,Rush,1,10,90,4
400763458_18_2,400763458,2015,11,WVU,TEX,3,00:01:41,Rush,2,6,94,3
400763458_18_4,400763458,2015,11,WVU,TEX,3,00:00:14,Rush,3,3,97,1
